time,sta_id,sta_name,lon,lat,level,value
2026-09-10 18:00:00,54398,顺义区,116.62,40.13,5,16
2026-09-10 18:00:00,54399,海淀区,116.29,39.99,4,9
2026-09-10 18:00:00,54406,延庆区,115.97,40.45,4,13
2026-09-10 18:00:00,54416,密云区,116.86,40.38,2,3
2026-09-10 18:00:00,54419,怀柔区,116.63,40.36,2,4
2026-09-10 18:00:00,54424,平谷区,117.12,40.17,3,7
2026-09-10 18:00:00,54431,通州区,116.76,39.85,4,11
2026-09-10 18:00:00,54433,朝阳区,116.5,39.95,4,9
2026-09-10 18:00:00,54499,昌平区,116.21,40.22,4,9
2026-09-10 18:00:00,54505,门头沟区,116.16,39.89,2,4
2026-09-10 18:00:00,54513,石景山区,116.21,39.94,4,9
2026-09-10 18:00:00,54514,丰台区,116.25,39.87,4,8
2026-09-10 18:00:00,54594,大兴区,116.35,39.72,4,13
2026-09-10 18:00:00,54596,房山区,116.19,39.77,3,6
2026-09-10 18:00:00,A1014,东城区,116.43,39.91,2,4
2026-09-10 18:00:00,A1015,西城区,116.35,39.87,3,5
2026-09-10 19:00:00,54398,顺义区,116.62,40.13,4,13
2026-09-10 19:00:00,54399,海淀区,116.29,39.99,4,11
2026-09-10 19:00:00,54406,延庆区,115.97,40.45,3,7
2026-09-10 19:00:00,54416,密云区,116.86,40.38,1,2
2026-09-10 19:00:00,54419,怀柔区,116.63,40.36,1,2
2026-09-10 19:00:00,54424,平谷区,117.12,40.17,2,3
2026-09-10 19:00:00,54431,通州区,116.76,39.85,3,6
2026-09-10 19:00:00,54433,朝阳区,116.5,39.95,4,9
2026-09-10 19:00:00,54499,昌平区,116.21,40.22,3,7
2026-09-10 19:00:00,54505,门头沟区,116.16,39.89,1,2
2026-09-10 19:00:00,54513,石景山区,116.21,39.94,4,13
2026-09-10 19:00:00,54514,丰台区,116.25,39.87,3,6
2026-09-10 19:00:00,54594,大兴区,116.35,39.72,3,5
2026-09-10 19:00:00,54596,房山区,116.19,39.77,2,4
2026-09-10 19:00:00,A1014,东城区,116.43,39.91,3,5
